magnetic field (T)	nonlocal resistance (parallel field) (Ω)	nonlocal resistance (antiparallel field) (Ω)
0.195	0.032	0.0465
0.194	0.0265	0.045
0.193	0.013	0.0515
0.192	-0.006	0.037
0.191	-0.0005	0.0265
0.19	0.007	0.039
0.189	0.022	0.049
0.188	0.0055	0.0445
0.187	-0.0105	0.043
0.186	-0.005	0.058
0.185	0.006	0.0285
0.184	0.007	0.043
0.183	0.0245	0.006
0.182	-0.0035	0.009
0.181	0.0055	0.0175
0.18	-0.0075	0.01
0.179	0.016	0.029
0.178	-0.0185	0.0175
0.177	0.005	0.018
0.176	-0.006	0.0055
0.175	-0.0115	0.003
0.174	-0.0005	0.0135
0.173	0.0135	0.0005
0.172	0.007	0.038
0.171	0.0085	-0.0005
0.17	-0.0095	0.021
0.169	0.007	0.028
0.168	0.0225	0.0085
0.167	0.0215	0.0145
0.166	0.02	0.0175
0.165	0.028	0.0375
0.164	0.01	0.0275
0.163	0.003	0.0365
0.162	0.001	0.0195
0.161	-0.0005	0.0475
0.16	0.001	0.0125
0.159	0.001	0.02
0.158	0.0185	0.011
0.157	-0.01	0.0155
0.156	0.01	0.025
0.155	0.0005	0.015
0.154	0.01	0.038
0.153	0.004	-0.006
0.152	-0.009	0.014
0.151	0.011	0.021
0.15	0.0375	0.0275
0.149	0.0075	0.023
0.148	0.0205	0.0065
0.147	0.011	0.034
0.146	0.0065	0.008
0.145	-0.0045	0.016
0.144	-0.01	0.03
0.143	0.0085	0.0005
0.142	-0.0075	0.0035
0.141	-0.0045	0.0125
0.14	0.01	-0.004
0.139	0.0025	0.0175
0.138	0.013	-0.0005
0.137	-0.0055	0.0055
0.136	-0.018	-0.0005
0.135	0.0095	0.009
0.134	-0.006	0.0215
0.133	0.0045	0.016
0.132	0.0105	0.024
0.131	-0.0005	-0.0315
0.13	0.028	0.011
0.129	-0.0055	-0.006
0.128	0.005	-0.0065
0.127	-0.0095	-0.0235
0.126	-0.0045	0.0005
0.125	0	-0.0305
0.124	-0.0085	0.001
0.123	-0.0035	-0.0175
0.122	0.0105	-0.026
0.121	-0.0035	-0.026
0.12	0.0165	-0.016
0.119	-0.0025	-0.0315
0.118	0.0165	-0.03
0.117	0.002	0.013
0.116	-0.004	-0.0155
0.115	-0.0045	-0.0025
0.114	0.001	-0.0075
0.113	0.003	-0.0075
0.112	0.007	0.027
0.111	-0.0045	0.016
0.11	-0.014	0.009
0.109	0.014	-0.016
0.108	-0.0155	-0.014
0.107	-0.0185	-0.0285
0.106	-0.002	0.011
0.105	-0.0025	-0.0135
0.104	-0.029	-0.0065
0.103	0.019	-0.0135
0.102	-0.028	-0.018
0.101	-0.012	0.002
0.1	0	0.011
0.099	-0.012	-0.0175
0.098	0.0105	0.012
0.097	-0.04	-0.0045
0.096	-0.013	0.0025
0.095	-0.0025	0.009
0.094	-0.0285	0.019
0.093	-0.018	0.0055
0.092	-0.0085	0.002
0.091	-0.0445	-0.007
0.09	-0.026	0.0035
0.089	-0.0255	-0.003
0.088	-0.017	0.008
0.087	-0.04	0.005
0.086	-0.023	0.014
0.085	-0.015	0.016
0.084	-0.046	0.008
0.083	-0.016	0.0265
0.082	-0.03	0.0115
0.081	-0.0195	-0.003
0.08	-0.043	0.0095
0.079	-0.0475	0.015
0.078	-0.022	0.0125
0.077	-0.056	0.0115
0.076	-0.0355	0.01
0.075	-0.0605	0.023
0.074	-0.0665	0.022
0.073	-0.072	0.03
0.072	-0.072	0.0415
0.071	-0.09	0.013
0.07	-0.0875	0.0275
0.069	-0.082	0.043
0.068	-0.093	0.0585
0.067	-0.095	0.0505
0.066	-0.085	0.0505
0.065	-0.082	0.08
0.064	-0.103	0.071
0.063	-0.093	0.054
0.062	-0.1205	0.066
0.061	-0.1125	0.084
0.06	-0.1195	0.0685
0.059	-0.111	0.0795
0.058	-0.107	0.088
0.057	-0.1325	0.093
0.056	-0.1215	0.091
0.055	-0.1625	0.1185
0.054	-0.144	0.1295
0.053	-0.159	0.1315
0.052	-0.176	0.1305
0.051	-0.151	0.146
0.05	-0.1705	0.168
0.049	-0.174	0.165
0.048	-0.197	0.18
0.047	-0.2135	0.2025
0.046	-0.2175	0.1965
0.045	-0.2265	0.201
0.044	-0.2345	0.2
0.043	-0.233	0.233
0.042	-0.2345	0.219
0.041	-0.246	0.226
0.04	-0.2685	0.237
0.039	-0.2595	0.229
0.038	-0.277	0.2245
0.037	-0.279	0.255
0.036	-0.295	0.263
0.035	-0.284	0.2915
0.034	-0.287	0.265
0.033	-0.2945	0.2715
0.032	-0.3165	0.288
0.031	-0.305	0.27
0.03	-0.3065	0.3105
0.029	-0.3095	0.2955
0.028	-0.311	0.2905
0.027	-0.2945	0.29
0.026	-0.3035	0.319
0.025	-0.3	0.3085
0.024	-0.274	0.295
0.023	-0.293	0.284
0.022	-0.252	0.2505
0.021	-0.2165	0.2545
0.02	-0.1895	0.2235
0.019	-0.171	0.1895
0.018	-0.142	0.153
0.017	-0.071	0.12
0.016	-0.054	0.071
0.015	0.0105	-0.0025
0.014	0.068	-0.0415
0.013	0.1335	-0.116
0.012	0.239	-0.204
0.011	0.3285	-0.298
0.01	0.405	-0.428
0.009	0.4985	-0.5265
0.008	0.594	-0.67
0.007	0.7075	-0.7405
0.006	0.8005	-0.896
0.005	0.913	-1.0235
0.004	0.9855	-1.0995
0.003	1.0735	-1.2015
0.002	1.102	-1.288
0.001	1.168	-1.338
0	1.2305	-1.351
-0.001	1.168	-1.338
-0.002	1.102	-1.288
-0.003	1.0735	-1.2015
-0.004	0.9855	-1.0995
-0.005	0.913	-1.0235
-0.006	0.8005	-0.896
-0.007	0.7075	-0.7405
-0.008	0.594	-0.67
-0.009	0.4985	-0.5265
-0.01	0.405	-0.428
-0.011	0.3285	-0.298
-0.012	0.239	-0.204
-0.013	0.1335	-0.116
-0.014	0.068	-0.0415
-0.015	0.0105	-0.0025
-0.016	-0.054	0.071
-0.017	-0.071	0.12
-0.018	-0.142	0.153
-0.019	-0.171	0.1895
-0.02	-0.1895	0.2235
-0.021	-0.2165	0.2545
-0.022	-0.252	0.2505
-0.023	-0.293	0.284
-0.024	-0.274	0.295
-0.025	-0.3	0.3085
-0.026	-0.3035	0.319
-0.027	-0.2945	0.29
-0.028	-0.311	0.2905
-0.029	-0.3095	0.2955
-0.03	-0.3065	0.3105
-0.031	-0.305	0.27
-0.032	-0.3165	0.288
-0.033	-0.2945	0.2715
-0.034	-0.287	0.265
-0.035	-0.284	0.2915
-0.036	-0.295	0.263
-0.037	-0.279	0.255
-0.038	-0.277	0.2245
-0.039	-0.2595	0.229
-0.04	-0.2685	0.237
-0.041	-0.246	0.226
-0.042	-0.2345	0.219
-0.043	-0.233	0.233
-0.044	-0.2345	0.2
-0.045	-0.2265	0.201
-0.046	-0.2175	0.1965
-0.047	-0.2135	0.2025
-0.048	-0.197	0.18
-0.049	-0.174	0.165
-0.05	-0.1705	0.168
-0.051	-0.151	0.146
-0.052	-0.176	0.1305
-0.053	-0.159	0.1315
-0.054	-0.144	0.1295
-0.055	-0.1625	0.1185
-0.056	-0.1215	0.091
-0.057	-0.1325	0.093
-0.058	-0.107	0.088
-0.059	-0.111	0.0795
-0.06	-0.1195	0.0685
-0.061	-0.1125	0.084
-0.062	-0.1205	0.066
-0.063	-0.093	0.054
-0.064	-0.103	0.071
-0.065	-0.082	0.08
-0.066	-0.085	0.0505
-0.067	-0.095	0.0505
-0.068	-0.093	0.0585
-0.069	-0.082	0.043
-0.07	-0.0875	0.0275
-0.071	-0.09	0.013
-0.072	-0.072	0.0415
-0.073	-0.072	0.03
-0.074	-0.0665	0.022
-0.075	-0.0605	0.023
-0.076	-0.0355	0.01
-0.077	-0.056	0.0115
-0.078	-0.022	0.0125
-0.079	-0.0475	0.015
-0.08	-0.043	0.0095
-0.081	-0.0195	-0.003
-0.082	-0.03	0.0115
-0.083	-0.016	0.0265
-0.084	-0.046	0.008
-0.085	-0.015	0.016
-0.086	-0.023	0.014
-0.087	-0.04	0.005
-0.088	-0.017	0.008
-0.089	-0.0255	-0.003
-0.09	-0.026	0.0035
-0.091	-0.0445	-0.007
-0.092	-0.0085	0.002
-0.093	-0.018	0.0055
-0.094	-0.0285	0.019
-0.095	-0.0025	0.009
-0.096	-0.013	0.0025
-0.097	-0.04	-0.0045
-0.098	0.0105	0.012
-0.099	-0.012	-0.0175
-0.1	0	0.011
-0.101	-0.012	0.002
-0.102	-0.028	-0.018
-0.103	0.019	-0.0135
-0.104	-0.029	-0.0065
-0.105	-0.0025	-0.0135
-0.106	-0.002	0.011
-0.107	-0.0185	-0.0285
-0.108	-0.0155	-0.014
-0.109	0.014	-0.016
-0.11	-0.014	0.009
-0.111	-0.0045	0.016
-0.112	0.007	0.027
-0.113	0.003	-0.0075
-0.114	0.001	-0.0075
-0.115	-0.0045	-0.0025
-0.116	-0.004	-0.0155
-0.117	0.002	0.013
-0.118	0.0165	-0.03
-0.119	-0.0025	-0.0315
-0.12	0.0165	-0.016
-0.121	-0.0035	-0.026
-0.122	0.0105	-0.026
-0.123	-0.0035	-0.0175
-0.124	-0.0085	0.001
-0.125	0	-0.0305
-0.126	-0.0045	0.0005
-0.127	-0.0095	-0.0235
-0.128	0.005	-0.0065
-0.129	-0.0055	-0.006
-0.13	0.028	0.011
-0.131	-0.0005	-0.0315
-0.132	0.0105	0.024
-0.133	0.0045	0.016
-0.134	-0.006	0.0215
-0.135	0.0095	0.009
-0.136	-0.018	-0.0005
-0.137	-0.0055	0.0055
-0.138	0.013	-0.0005
-0.139	0.0025	0.0175
-0.14	0.01	-0.004
-0.141	-0.0045	0.0125
-0.142	-0.0075	0.0035
-0.143	0.0085	0.0005
-0.144	-0.01	0.03
-0.145	-0.0045	0.016
-0.146	0.0065	0.008
-0.147	0.011	0.034
-0.148	0.0205	0.0065
-0.149	0.0075	0.023
-0.15	0.0375	0.0275
-0.151	0.011	0.021
-0.152	-0.009	0.014
-0.153	0.004	-0.006
-0.154	0.01	0.038
-0.155	0.0005	0.015
-0.156	0.01	0.025
-0.157	-0.01	0.0155
-0.158	0.0185	0.011
-0.159	0.001	0.02
-0.16	0.001	0.0125
-0.161	-0.0005	0.0475
-0.162	0.001	0.0195
-0.163	0.003	0.0365
-0.164	0.01	0.0275
-0.165	0.028	0.0375
-0.166	0.02	0.0175
-0.167	0.0215	0.0145
-0.168	0.0225	0.0085
-0.169	0.007	0.028
-0.17	-0.0095	0.021
-0.171	0.0085	-0.0005
-0.172	0.007	0.038
-0.173	0.0135	0.0005
-0.174	-0.0005	0.0135
-0.175	-0.0115	0.003
-0.176	-0.006	0.0055
-0.177	0.005	0.018
-0.178	-0.0185	0.0175
-0.179	0.016	0.029
-0.18	-0.0075	0.01
-0.181	0.0055	0.0175
-0.182	-0.0035	0.009
-0.183	0.0245	0.006
-0.184	0.007	0.043
-0.185	0.006	0.0285
-0.186	-0.005	0.058
-0.187	-0.0105	0.043
-0.188	0.0055	0.0445
-0.189	0.022	0.049
-0.19	0.007	0.039
-0.191	-0.0005	0.0265
-0.192	-0.006	0.037
-0.193	0.013	0.0515
-0.194	0.0265	0.045
-0.195	0.032	0.0465
