magnetic field (T)	nonlocal resistance (parallel field) (mΩ)	nonlocal resistance (antiparallel field) (mΩ)
-0.173236	-0.24487	0.29179
-0.166308	-0.20732	0.30861
-0.15938	-0.26042	0.27022
-0.152451	-0.21225	0.27686
-0.145523	-0.23856	0.25233
-0.138595	-0.20823	0.24243
-0.131667	-0.2521	0.18185
-0.124738	-0.17005	0.26049
-0.11781	-0.19316	0.18282
-0.110882	-0.12145	0.16689
-0.103954	-0.13247	0.17855
-0.097025	-0.09753	0.0755
-0.090097	-0.04499	0.03356
-0.083169	0.00514	0.0479
-0.07624	0.05999	-0.05639
-0.069312	0.10789	-0.22179
-0.062384	0.20164	-0.24681
-0.055456	0.3383	-0.32371
-0.048527	0.38907	-0.47771
-0.041599	0.49041	-0.52835
-0.034671	0.63082	-0.64384
-0.027743	0.73081	-0.79296
-0.020814	0.79029	-0.9113
-0.013886	0.83234	-0.97209
-0.006958	0.92532	-1.01904
-0.0000294	0.94246	-1.17302
0.006899	0.93424	-1.05541
0.013827	0.87415	-0.9976
0.020755	0.78094	-0.95687
0.027684	0.71136	-0.86167
0.034612	0.69316	-0.72825
0.04154	0.54836	-0.62231
0.048469	0.44378	-0.47794
0.055397	0.33946	-0.37703
0.062325	0.26543	-0.2607
0.069253	0.1324	-0.13817
0.076182	0.08713	-0.12493
0.08311	-0.02022	-0.03512
0.090038	-0.00206	0.0414
0.096966	-0.05685	0.06681
0.103895	-0.12915	0.11523
0.110823	-0.15205	0.21456
0.117751	-0.19536	0.16265
0.12468	-0.21724	0.21297
0.131608	-0.2016	0.2694
0.138536	-0.23473	0.23712
0.145464	-0.21646	0.27415
0.152393	-0.22071	0.26597
0.159321	-0.22534	0.30168
0.166249	-0.23941	0.23191
0.173177	-0.23129	0.25344
